tabla_origen;codigo;nombre_descripción;tabla_referencia
tb_mdp_promocion;cod_sistema;nom_sistema;tb_mdp_sistema
tb_mdp_producto_idioma;cod_modalidad;nom_modalidad;tb_mdp_modalidad_idioma
tb_mdp_va_idioma;cod_perfil;nom_perfil;tb_mdp_perfil
tb_mdp_producto_atributo;cod_empresa;nom_empresa;tb_mdp_empresa
tb_mdp_producto_material;cod_tipo_material;nom_tipo_material;tb_mdp_tipo_material
tb_mdp_ambito_perfil_modalidad;cod_ambito;nom_ambito;tb_mdp_ambito
tb_mdp_promocion_cliente;cod_promocion;nom_promocion;tb_mdp_promocion
tb_mdp_atributo_va_documento;cod_atributo_va;nom_atributo_va;tb_mdp_atributo_va_idioma
tb_mdp_atributo_va_documento;cod_documento;desc_documento;tb_mdp_documento_idioma
tb_mdp_entrega;cod_entrega;nom_entrega;tb_mdp_entrega_idioma
tb_mdp_documento;cod_documento;desc_documento;tb_mdp_documento_idioma
tb_mdp_producto_trazabilidad_temperatura;cod_trazabilidad_temperatura;desc_trazabilidad_temperatura;tb_mdp_trazabilidad_temperatura
tb_mdp_tam_simple_sobrecoste;cod_sobrecoste;desc_sobrecoste;tb_mdp_sobrecoste
tb_mdp_tam_simple_sobrecoste;cod_tam_simple;nom_tam_simple;_tam_simple_es
tb_mdp_tam_simple;cod_tam_simple;nom_tam_simple;_tam_simple_es
tb_mdp_tipo_formato;cod_tipo_formato;nom_tipo_formato;tb_mdp_tipo_formato_idioma
tb_mdp_producto_familia;cod_familia;nom_familia;tb_mdp_familia_idioma
tb_mdp_admision;cod_admision;nom_admision;tb_mdp_admision_idioma
tb_mdp_producto_perfil;cod_perfil;nom_perfil;tb_mdp_perfil
tb_mdp_va_franqueo_perfil;cod_perfil;nom_perfil;tb_mdp_perfil
tb_mdp_atributo_va;cod_atributo_va;nom_atributo_va;tb_mdp_atributo_va_idioma
tb_mdp_va_franja_horaria;cod_franja;nom_franja;tb_mdp_franja_horaria_idioma
