cod_ambito;nom_ambito;fec_creacion;fec_actualizacion
1;PenÃ­nsula y Baleares;2023-10-31 00:00:00;2023-10-31 00:00:00
2;Canarias;2023-10-31 00:00:00;2023-10-31 00:00:00
3;Ceuta;2023-10-31 00:00:00;2023-10-31 00:00:00
4;Melilla;2023-10-31 00:00:00;2023-10-31 00:00:00
5;Andorra;2023-10-31 00:00:00;2023-10-31 00:00:00
10;PenÃ­nsula;2024-01-19 00:00:00;2024-01-19 00:00:00
11;Baleares;2024-01-19 00:00:00;2024-01-19 00:00:00
101;Ãlava;2024-01-19 00:00:00;2024-01-19 00:00:00
102;Albacete;2024-01-19 00:00:00;2024-01-19 00:00:00
103;Alicante;2024-01-19 00:00:00;2024-01-19 00:00:00
104;AlmerÃ­a;2024-01-19 00:00:00;2024-01-19 00:00:00
105;Ãvila;2024-01-19 00:00:00;2024-01-19 00:00:00
106;Badajoz;2024-01-19 00:00:00;2024-01-19 00:00:00
107;Islas Baleares;2024-01-19 00:00:00;2024-01-19 00:00:00
108;Barcelona;2024-01-19 00:00:00;2024-01-19 00:00:00
109;Burgos;2024-01-19 00:00:00;2024-01-19 00:00:00
110;CÃ¡ceres;2024-01-19 00:00:00;2024-01-19 00:00:00
111;CÃ¡diz;2024-01-19 00:00:00;2024-01-19 00:00:00
112;CastellÃ³n;2024-01-19 00:00:00;2024-01-19 00:00:00
113;Ciudad Real;2024-01-19 00:00:00;2024-01-19 00:00:00
114;CÃ³rdoba;2024-01-19 00:00:00;2024-01-19 00:00:00
115;A CoruÃ±a;2024-01-19 00:00:00;2024-01-19 00:00:00
116;Cuenca;2024-01-19 00:00:00;2024-01-19 00:00:00
117;Girona;2024-01-19 00:00:00;2024-01-19 00:00:00
118;Granada;2024-01-19 00:00:00;2024-01-19 00:00:00
119;Guadalajara;2024-01-19 00:00:00;2024-01-19 00:00:00
120;Gipuzkoa;2024-01-19 00:00:00;2024-01-19 00:00:00
121;Huelva;2024-01-19 00:00:00;2024-01-19 00:00:00
122;Huesca;2024-01-19 00:00:00;2024-01-19 00:00:00
123;JaÃ©n;2024-01-19 00:00:00;2024-01-19 00:00:00
124;LeÃ³n;2024-01-19 00:00:00;2024-01-19 00:00:00
125;Lleida;2024-01-19 00:00:00;2024-01-19 00:00:00
126;La Rioja;2024-01-19 00:00:00;2024-01-19 00:00:00
127;Lugo;2024-01-19 00:00:00;2024-01-19 00:00:00
128;Madrid;2024-01-19 00:00:00;2024-01-19 00:00:00
129;MÃ¡laga;2024-01-19 00:00:00;2024-01-19 00:00:00
130;Murcia;2024-01-19 00:00:00;2024-01-19 00:00:00
131;Navarra;2024-01-19 00:00:00;2024-01-19 00:00:00
132;Ourense;2024-01-19 00:00:00;2024-01-19 00:00:00
133;Asturias;2024-01-19 00:00:00;2024-01-19 00:00:00
134;Palencia;2024-01-19 00:00:00;2024-01-19 00:00:00
135;Las Palmas;2024-01-19 00:00:00;2024-01-19 00:00:00
136;Pontevedra;2024-01-19 00:00:00;2024-01-19 00:00:00
137;Salamanca;2024-01-19 00:00:00;2024-01-19 00:00:00
138;Santa Cruz de Tenerife;2024-01-19 00:00:00;2024-01-19 00:00:00
139;Cantabria;2024-01-19 00:00:00;2024-01-19 00:00:00
140;Segovia;2024-01-19 00:00:00;2024-01-19 00:00:00
141;Sevilla;2024-01-19 00:00:00;2024-01-19 00:00:00
142;Soria;2024-01-19 00:00:00;2024-01-19 00:00:00
143;Tarragona;2024-01-19 00:00:00;2024-01-19 00:00:00
144;Teruel;2024-01-19 00:00:00;2024-01-19 00:00:00
145;Toledo;2024-01-19 00:00:00;2024-01-19 00:00:00
146;Valencia;2024-01-19 00:00:00;2024-01-19 00:00:00
147;Valladolid;2024-01-19 00:00:00;2024-01-19 00:00:00
148;Bizkaia;2024-01-19 00:00:00;2024-01-19 00:00:00
149;Zamora;2024-01-19 00:00:00;2024-01-19 00:00:00
150;Zaragoza;2024-01-19 00:00:00;2024-01-19 00:00:00
