cod_ambito_detalle;cod_ambito;cod_provincia;cod_pais;fec_creacion;fec_actualizacion
101;1;01;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
102;1;02;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
103;1;03;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
104;1;04;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
105;1;05;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
106;1;06;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
107;1;07;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
108;1;08;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
109;1;09;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
110;1;10;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
111;1;11;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
112;1;12;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
113;1;13;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
114;1;14;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
115;1;15;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
116;1;16;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
117;1;17;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
118;1;18;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
119;1;19;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
120;1;20;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
121;1;21;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
122;1;22;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
123;1;23;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
124;1;24;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
125;1;25;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
126;1;26;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
127;1;27;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
128;1;28;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
129;1;29;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
130;1;30;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
131;1;31;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
132;1;32;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
133;1;33;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
134;1;34;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
135;1;36;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
136;1;37;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
137;1;39;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
138;1;40;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
139;1;41;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
140;1;42;ESP;2024-01-19 00:00:00;2024-01-19 00:00:00
