cod_producto_comercial;cod_modalidad;fec_alta;cod_ambito;fec_creacion;fec_actualizacion
PADXA1;DOUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;5;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;4;2023-10-31 00:00:00;2023-10-31 00:00:00
