cod_entrega;ind_citypaq;fec_creacion;fec_actualizacion
1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
2;f;2023-10-31 00:00:00;2023-10-31 00:00:00
3;t;2023-10-31 00:00:00;2023-10-31 00:00:00
4;f;2023-10-31 00:00:00;2023-10-31 00:00:00
5;f;2023-10-31 00:00:00;2023-10-31 00:00:00
6;f;2023-10-31 00:00:00;2023-10-31 00:00:00
7;f;2024-01-19 00:00:00;2024-01-19 00:00:00
8;f;2024-01-19 00:00:00;2024-01-19 00:00:00
9;f;2024-01-19 00:00:00;2024-01-19 00:00:00
10;f;2024-01-19 00:00:00;2024-01-19 00:00:00
99;f;2024-02-20 00:00:00;2024-02-20 00:00:00
12;f;2024-03-13 00:00:00;2024-03-13 00:00:00
13;f;2024-03-13 00:00:00;2024-03-13 00:00:00
14;f;2024-04-19 00:00:00;2024-04-19 00:00:00
18;f;2024-06-06 00:00:00;2024-06-06 00:00:00
19;f;2024-10-17 00:00:00;2024-10-17 00:00:00
