cod_familia;logo;cod_familia_padre;fec_creacion;fec_actualizacion
201;;2;2023-10-31 00:00:00;2023-10-31 00:00:00
202;;2;2023-10-31 00:00:00;2023-10-31 00:00:00
1001;;10;2023-10-31 00:00:00;2023-10-31 00:00:00
20101;;201;2023-10-31 00:00:00;2023-10-31 00:00:00
20102;;201;2023-10-31 00:00:00;2023-10-31 00:00:00
20201;;202;2023-10-31 00:00:00;2023-10-31 00:00:00
20202;;202;2023-10-31 00:00:00;2023-10-31 00:00:00
2010201;;20102;2023-10-31 00:00:00;2023-10-31 00:00:00
901;;9;2024-01-19 00:00:00;2024-01-19 00:00:00
902;;9;2024-01-19 00:00:00;2024-01-19 00:00:00
2010101;;20101;2024-02-20 00:00:00;2024-02-20 00:00:00
201010101;;2010101;2024-02-20 00:00:00;2024-02-20 00:00:00
801;;8;2024-02-20 00:00:00;2024-02-20 00:00:00
802;;8;2024-02-20 00:00:00;2024-02-20 00:00:00
1002;;10;2024-04-19 00:00:00;2024-04-19 00:00:00
100201;;1002;2024-04-19 00:00:00;2024-04-19 00:00:00
100202;;1002;2024-04-19 00:00:00;2024-04-19 00:00:00
11;;;2024-06-06 00:00:00;2024-06-06 00:00:00
1101;;11;2024-06-06 00:00:00;2024-06-06 00:00:00
110101;;1101;2024-06-06 00:00:00;2024-06-06 00:00:00
110102;;1101;2024-06-06 00:00:00;2024-06-06 00:00:00
101;;1;2024-08-30 00:00:00;2024-08-30 00:00:00
10101;;101;2024-08-30 00:00:00;2024-08-30 00:00:00
2020201;;20202;2024-08-30 00:00:00;2024-08-30 00:00:00
1003;;10;2024-10-17 00:00:00;2024-10-17 00:00:00
100301;;1003;2024-10-17 00:00:00;2024-10-17 00:00:00
100302;;1003;2024-10-17 00:00:00;2024-10-17 00:00:00
1;;;2023-10-31 00:00:00;2023-10-31 00:00:00
2;;;2023-10-31 00:00:00;2023-10-31 00:00:00
3;;;2023-10-31 00:00:00;2023-10-31 00:00:00
4;;;2023-10-31 00:00:00;2023-10-31 00:00:00
5;;;2023-10-31 00:00:00;2023-10-31 00:00:00
6;;;2023-10-31 00:00:00;2023-10-31 00:00:00
7;;;2023-10-31 00:00:00;2023-10-31 00:00:00
8;;;2023-10-31 00:00:00;2023-10-31 00:00:00
9;;;2023-10-31 00:00:00;2023-10-31 00:00:00
10;;;2023-10-31 00:00:00;2023-10-31 00:00:00
