cod_familia;cod_idioma_alpha2;nom_familia;desc_familia;mas_info;fec_creacion;fec_actualizacion
1;es;Servicios de Comunicación;Envío de documentos;"";2023-10-31 00:00:00;2023-10-31 00:00:00
2;es;Servicios de Paquetería;Envío de paquetes;"";2023-10-31 00:00:00;2023-10-31 00:00:00
3;es;Servicios Digitales;Servicios prestados en un entorno digital;"";2023-10-31 00:00:00;2023-10-31 00:00:00
4;es;Servicios de Marketing, Libros y Publicaciones Periódicas;"Envío de libros, publicaciones y publicidad; además de otros servicios que te ayudarán a darte a conocer";"";2023-10-31 00:00:00;2023-10-31 00:00:00
5;es;Servicios prestados en Oficinas;Servicios prestados en nuestra amplia red de Oficinas repartidas por todo el territorio nacional;"";2023-10-31 00:00:00;2023-10-31 00:00:00
6;es;Filatelia;Productos filatélicos: Sellos personalizados, libros de sellos, etc.;"";2023-10-31 00:00:00;2023-10-31 00:00:00
7;es;El Camino con Correos;Cuenta con Correos para cualquier necesidad que te puedas encontrar antes, durante o después del Camino;"";2023-10-31 00:00:00;2023-10-31 00:00:00
8;es;Correos Frío;Envíos con temperatura controlada, tanto alimentación como productos de salud;"";2023-10-31 00:00:00;2023-10-31 00:00:00
9;es;Correos Logística;Servicios logísticos para empresas: Almacenamiento, Picking, Packing, etc.;"";2023-10-31 00:00:00;2023-10-31 00:00:00
10;es;Otros Servicios;Servicios de diferentes tipologías prestados por Correos;"";2023-10-31 00:00:00;2023-10-31 00:00:00
201;es;Paquetería nacional;Envío de paquetes dentro del territorio nacional;"";2023-10-31 00:00:00;2023-10-31 00:00:00
202;es;Paquetería internacional;Envío de paquetes fuera del territorio nacional;"";2023-10-31 00:00:00;2023-10-31 00:00:00
1001;es;Tasas de Examen;Pago de la inscripción en la convocatoria de Ingreso de Personal Laboral Fijo;"";2023-10-31 00:00:00;2023-10-31 00:00:00
20101;es;Paquetería nacional para clientes con contrato;Envío de paquetes dentro del territorio nacional bajo la modalidad de contrato;"";2023-10-31 00:00:00;2023-10-31 00:00:00
20102;es;Paquetería nacional para clientes sin contrato;Envío de paquetes dentro del territorio nacional sin la necesidad de disponer de un contrato con Correos;"";2023-10-31 00:00:00;2023-10-31 00:00:00
20201;es;Paquetería internacional para clientes con contrato;Envío de paquetes fuera del territorio nacional bajo la modalidad de contrato;"";2023-10-31 00:00:00;2023-10-31 00:00:00
20202;es;Paquetería internacional para clientes sin contrato;Envío de paquetes fuera del territorio nacional sin la necesidad de disponer de un contrato con Correos;"";2023-10-31 00:00:00;2023-10-31 00:00:00
2010201;es;Ofertas comerciales  de paquetería nacional para clientes sin contrato;Envío de paquetes dentro del territorio nacional con los precios más competitivos del mercado;"";2023-10-31 00:00:00;2023-10-31 00:00:00
901;es;Mercancía paletizada;Servicio expres y logística inversa de mercancía paletizada;"";2024-01-19 00:00:00;2024-01-19 00:00:00
902;es;Correos XL;Servicio de transporte de mercancía voluminosa de gama blanca (frigoríficos, lavadoras, etc.) y gama marrón (TV), incluyendo su logística inversa;"";2024-01-19 00:00:00;2024-01-19 00:00:00
2010101;es;Ofertas comerciales de paquetería nacional para clientes con contrato;Envío de paquetes dentro del territorio nacional con soluciones a medida para nuestros clientes con contrato;"";2024-02-20 00:00:00;2024-02-20 00:00:00
201010101;es;Oferta comercial de paquetería voluminosa nacional para IKEA;Envío de paquetes voluminosos dentro del territorio nacional con soluciones a medida para IKEA;"";2024-02-20 00:00:00;2024-02-20 00:00:00
801;es;Alimentación;Transporte de productos frescos a temperatura controlada para garantizar su calidad desde el origen hasta su destino;"";2024-02-20 00:00:00;2024-02-20 00:00:00
