cod_franja;hora_inicio;hora_fin;fec_creacion;fec_actualizacion
1;09:00:00;12:00:00;2023-10-31 00:00:00;2023-10-31 00:00:00
2;12:00:00;15:00:00;2023-10-31 00:00:00;2023-10-31 00:00:00
3;15:00:00;18:00:00;2023-10-31 00:00:00;2023-10-31 00:00:00
4;18:00:00;22:00:00;2023-10-31 00:00:00;2023-10-31 00:00:00
5;09:00:00;14:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
6;15:00:00;20:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
7;09:00:00;20:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
8;09:00:00;11:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
9;11:00:00;13:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
10;13:00:00;15:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
11;16:00:00;18:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
12;18:00:00;20:00:00;2025-01-16 00:00:00;2025-01-16 00:00:00
