cod_tasa_impositiva;cod_tipo_impuesto;cod_tipo_gravamen;por_gravamen;cod_sap;fec_inicio;fec_fin;fec_creacion;fec_actualizacion
103;IVA;S;4.00;0400IVAN;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
104;IVA;V;0.00;0000EXEU;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
105;IVA;N;0.00;0000EXNS;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
106;IVA;Q;0.00;0000EXR0;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
107;IVA;T;0.00;0000EXEE;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
108;IVA;U;0.00;0000EXEF;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
117;IVA;K;0.00;0000EX3U;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
118;IVA;J;0.00;0000EX3P;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
119;IVA;L;0.00;0000EXN8;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
201;IGIC;G;7.00;0700IGIC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
202;IGIC;R;3.00;0300IGIC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
204;IGIC;V;0.00;0000EXE9;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
205;IGIC;N;0.00;0000EXNI;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
206;IGIC;Q;0.00;0000EXEY;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
207;IGIC;T;0.00;0000EXEI;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
208;IGIC;U;0.00;0000EXEQ;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
209;IGIC;C;0.00;0000EXRC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
214;IGIC;M;0.00;0000EXNJ;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
219;IGIC;L;0.00;0000EXN7;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
221;IGIC;I;9.50;0950IGRK;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
301;IPSI;G;9.00;0900IPSC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
302;IPSI;R;4.00;0400IPSC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
304;IPSI;V;0.00;0000EXE6;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
305;IPSI;N;0.00;0000EXE8;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
306;IPSI;Q;0.00;0000EXEC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
307;IPSI;T;0.00;0000EXEC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
315;IPSI;A;0.00;0000EXE5;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
320;IPSI;P;0.00;0000IPSC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
401;IPS1;G;4.00;0400IPSM;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
404;IPS1;V;0.00;0000EXE7;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
405;IPS1;N;0.00;0000EXE8;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
406;IPS1;Q;0.00;0000EXEM;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
407;IPS1;T;0.00;0000EXEM;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
410;IPS1;E;8.00;0800IPSM;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
416;IPS1;B;0.00;0000EXE5;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
420;IPS1;P;0.00;0000IPSM;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
504;IGI;V;0.00;0000EXEA;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
506;IGI;Q;0.00;0000EXEB;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
507;IGI;T;0.00;0000EXEA;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
101;IVA;G;21.00;2100IVAN;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
102;IVA;R;10.00;1000IVAN;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
312;IPSI;Y;10.00;1000IPSC;2023-01-01 00:00:00;;2023-10-31 00:00:00;2023-10-31 00:00:00
