cod_modalidad;cod_entrega;cod_admision;fec_creacion;fec_actualizacion
DOUAOF;1;1;2023-10-31 00:00:00;2023-10-31 00:00:00
DOMCIT;1;2;2023-10-31 00:00:00;2023-10-31 00:00:00
OFUAOF;2;1;2023-10-31 00:00:00;2023-10-31 00:00:00
OFICIT;2;2;2023-10-31 00:00:00;2023-10-31 00:00:00
CIUAOF;3;1;2023-10-31 00:00:00;2023-10-31 00:00:00
BUUAOF;4;1;2023-10-31 00:00:00;2023-10-31 00:00:00
RAUAOF;5;1;2023-10-31 00:00:00;2023-10-31 00:00:00
ACUAOF;6;1;2023-10-31 00:00:00;2023-10-31 00:00:00
DOURUA;1;3;2024-01-12 00:00:00;2024-01-12 00:00:00
PCUAOF;7;1;2024-01-19 00:00:00;2024-01-19 00:00:00
DSUAOF;8;1;2024-01-19 00:00:00;2024-01-19 00:00:00
DCUAOF;9;1;2024-01-19 00:00:00;2024-01-19 00:00:00
AUURUA;99;3;2024-01-19 00:00:00;2024-02-20 00:00:00
CAUAOF;10;1;2024-01-19 00:00:00;2024-04-19 00:00:00
URUAOF;12;1;2024-02-20 00:00:00;2024-04-19 00:00:00
CEURUA;13;3;2024-02-20 00:00:00;2024-04-19 00:00:00
ESTREG;14;4;2024-04-19 00:00:00;2024-04-19 00:00:00
CUBOFO;18;5;2024-06-06 00:00:00;2024-06-06 00:00:00
OFIOFO;1;5;2024-06-06 00:00:00;2024-06-06 00:00:00
DOMOFO;2;5;2024-06-06 00:00:00;2024-06-06 00:00:00
NTAPEU;1;1;2024-08-30 00:00:00;2024-08-30 00:00:00
PEUAOF;7;1;2024-01-19 00:00:00;2024-10-17 00:00:00
ESTESP;14;4;2024-04-19 00:00:00;2024-10-17 00:00:00
ESPESP;14;4;2024-04-19 00:00:00;2024-10-17 00:00:00
INTESP;14;4;2024-10-17 00:00:00;2024-10-17 00:00:00
ACUESP;1;1;2024-10-17 00:00:00;2024-10-17 00:00:00
EXPORT;1;1;2024-10-17 00:00:00;2024-10-17 00:00:00
ENESVA;19;6;2024-10-17 00:00:00;2024-10-17 00:00:00
PAIMAR;19;6;2024-10-17 00:00:00;2024-10-17 00:00:00
ORUAOF;2;1;2025-06-30 00:00:00;2025-06-30 00:00:00
NA;1;1;2025-09-09 00:00:00;2025-09-09 00:00:00
