cod_producto;nom_producto;fec_creacion;fec_actualizacion
PADXA;Paq Premium;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB;Paq EstÃ¡ndar;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH;Paq Premium Internacional;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI;Paq Standard Internacional;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ;Paq Light Internacional;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK;Paquete EconÃ³mico Internacional;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL;Pago Prueba Ingreso;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXC;Paq Ligero;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE;Paq Retorno;2024-01-12 00:00:00;2024-01-12 00:00:00
LOHXM;Servicio Palet;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO;Correos XL;2024-01-19 00:00:00;2024-01-19 00:00:00
FRAXQ;Paq FrÃ­o;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR;DevoluciÃ³n Paq FrÃ­o;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS;Paq Farma;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT;DevoluciÃ³n Paq Farma;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU;Retorno caja isoterma;2024-02-20 00:00:00;2024-02-20 00:00:00
LOJXP;Retorno Correos XL;2024-01-19 00:00:00;2024-04-19 00:00:00
LOHXN;Retorno Servicio Palet;2024-01-19 00:00:00;2024-04-19 00:00:00
PAAXD;Paquete Azul;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF;Paq Today;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG;DevoluciÃ³n de paqueterÃ­a nacional;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV;Paq Retorno Premium;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW;Paq Return Internacional;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX;DevoluciÃ³n de paqueterÃ­a internacional;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXY;DevoluciÃ³n Correos XL;2024-04-19 00:00:00;2024-04-19 00:00:00
LOHXZ;DevoluciÃ³n Servicio Palet;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA;Recogida a domicilio;2024-04-19 00:00:00;2024-04-19 00:00:00
EDKVAB;EnvÃ­o de Dinero nacional;2024-06-06 00:00:00;2024-06-06 00:00:00
POAXAC;Carta Certificada;2024-08-30 00:00:00;2024-08-30 00:00:00
POAXAD;Carta Ordinaria;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE;TrÃ¡mites aduaneros gestionados por Correos;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF;Pago de importes aduaneros;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAG;Pago de importes aduaneros - arancel;2025-07-14 00:00:00;2025-07-14 00:00:00
PABICN;Paq Bicicleta Nacional;2025-08-11 00:00:00;2025-08-11 00:00:00
OSIXUS;Pago de importes aduaneros - arancel (USA);2025-09-09 00:00:00;2025-09-09 00:00:00
LQBUTOOF;Distribucion internacional light;2025-05-26 00:00:00;2025-05-26 00:00:00
