cod_producto_comercial;cod_familia;fec_creacion;fec_actualizacion
PADXA1;20101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;2010201;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;20101;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB3;2010201;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;7;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;20201;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;20201;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;20201;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;20201;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;1001;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXC1;20101;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;20101;2024-01-12 00:00:00;2024-01-12 00:00:00
LOHXM1;901;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;901;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;902;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXP1;902;2024-01-19 00:00:00;2024-01-19 00:00:00
PAFXB5;201010101;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ1;801;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ2;801;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;801;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;802;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;802;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU1;8;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU2;8;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXZ1;901;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXY1;902;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;20101;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;20101;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG1;20101;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;20101;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;20101;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX1;20101;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;100201;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;100202;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA4;100202;2024-04-19 00:00:00;2024-04-19 00:00:00
EDKVAB2;110101;2024-06-06 00:00:00;2024-06-06 00:00:00
POAXAC1;10101;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXH3;2020201;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXI3;2020201;2024-08-30 00:00:00;2024-08-30 00:00:00
PADXA99;2010201;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB99;2010201;2024-10-17 00:00:00;2024-10-17 00:00:00
PAGXJ3;2020201;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD1;10101;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE2;100301;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE6;100302;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF2;100301;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF6;100302;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAG2;100301;2025-07-14 00:00:00;2025-07-14 00:00:00
OSIXAG6;100302;2025-07-14 00:00:00;2025-07-14 00:00:00
PABICN2;20102;2025-08-11 00:00:00;2025-08-11 00:00:00
OSIXUS2;100301;2025-09-09 00:00:00;2025-09-09 00:00:00
LQBUTOOF1;20201;2025-05-26 00:00:00;2025-05-26 00:00:00
