cod_producto_comercial;cod_tipo_material;fec_creacion;fec_actualizacion
PADXA1;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB3;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;1;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXC1;1;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;1;2024-01-12 00:00:00;2024-01-12 00:00:00
LOHXM1;1;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;1;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;1;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXP1;1;2024-01-19 00:00:00;2024-01-19 00:00:00
PAFXB5;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ2;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU1;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU2;1;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXZ1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXY1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX1;1;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;2;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;2;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA4;2;2024-04-19 00:00:00;2024-04-19 00:00:00
EDKVAB2;2;2024-06-06 00:00:00;2024-06-06 00:00:00
POAXAC1;1;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXH3;1;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXI3;1;2024-08-30 00:00:00;2024-08-30 00:00:00
PADXA99;1;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB99;1;2024-10-17 00:00:00;2024-10-17 00:00:00
PAGXJ3;1;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD1;1;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE2;2;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE6;2;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF2;2;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF6;2;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAG2;2;2025-07-14 00:00:00;2025-07-14 00:00:00
OSIXAG6;2;2025-07-14 00:00:00;2025-07-14 00:00:00
PABICN2;1;2025-08-11 00:00:00;2025-08-11 00:00:00
OSIXUS2;2;2025-09-09 00:00:00;2025-09-09 00:00:00
LQBUTOOF1;1;2025-05-26 00:00:00;2025-05-26 00:00:00
