cod_producto_comercial;cod_producto;cod_perfil;ind_imei;fec_creacion;fec_actualizacion
PADXA1;PADXA;1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;PADXA;3;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;PAFXB;1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB3;PAFXB;3;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;PAFXB;4;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;PAAXH;1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;PAAXI;1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;PAGXJ;1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;PAAXK;1;f;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;OSIVL;2;f;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXC1;PAGXC;1;f;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;PAAZE;1;f;2024-01-12 00:00:00;2024-01-12 00:00:00
LOHXM1;LOHXM;1;f;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;LOHXN;1;f;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;LOJXO;1;f;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXP1;LOJXP;1;f;2024-01-19 00:00:00;2024-01-19 00:00:00
PAFXB5;PAFXB;5;f;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ1;FRAXQ;1;t;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ2;FRAXQ;2;f;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;FRAXR;1;t;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;FRAXS;1;t;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;FRAXT;1;t;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU1;FRKXU;1;t;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU2;FRKXU;2;t;2024-02-20 00:00:00;2024-02-20 00:00:00
PAAXD1;PAAXD;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;PAAZF;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG1;PAAZG;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;PAAZV;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;PAAZW;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX1;PAAZX;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
LOHXZ1;LOHXZ;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXY1;LOJXY;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;OSIXAA;1;f;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;OSIXAA;3;f;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA4;OSIXAA;4;f;2024-04-19 00:00:00;2024-04-19 00:00:00
EDKVAB2;EDKVAB;2;f;2024-06-06 00:00:00;2024-06-06 00:00:00
POAXAC1;POAXAC;1;f;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXH3;PAAXH;3;f;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXI3;PAAXI;3;f;2024-08-30 00:00:00;2024-08-30 00:00:00
PADXA99;PADXA;99;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB99;PAFXB;99;f;2024-10-17 00:00:00;2024-10-17 00:00:00
PAGXJ3;PAGXJ;3;f;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD1;POAXAD;1;f;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE2;OSIXAE;2;f;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE6;OSIXAE;6;f;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF2;OSIXAF;2;f;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF6;OSIXAF;6;f;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAG2;OSIXAG;2;f;2025-07-14 00:00:00;2025-07-14 00:00:00
OSIXAG6;OSIXAG;6;f;2025-07-14 00:00:00;2025-07-14 00:00:00
PABICN2;PABICN;2;f;2025-08-11 00:00:00;2025-08-11 00:00:00
OSIXUS2;OSIXUS;2;f;2025-09-09 00:00:00;2025-09-09 00:00:00
LQBUTOOF1;LQBUTOOF;1;f;2025-05-26 00:00:00;2025-05-26 00:00:00
