cod_producto_comercial;cod_franqueo;fec_creacion;fec_actualizacion
PADXA1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;FE;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB3;FE;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB3;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB4;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL2;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXC1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
LOHXM1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXP1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
PAFXB5;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ1;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXQ2;ON;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR1;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS1;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT1;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU1;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU2;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXZ1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXY1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;FE;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;ON;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA4;ON;2024-04-19 00:00:00;2024-04-19 00:00:00
EDKVAB2;ES;2024-06-06 00:00:00;2024-06-06 00:00:00
POAXAC1;FP;2024-08-30 00:00:00;2024-08-30 00:00:00
POAXAC1;FM;2024-08-30 00:00:00;2024-08-30 00:00:00
POAXAC1;ON;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXH3;ON;2024-08-30 00:00:00;2024-08-30 00:00:00
PAAXI3;ON;2024-08-30 00:00:00;2024-08-30 00:00:00
PADXA99;FE;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA99;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB99;FE;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB99;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
PAGXJ3;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD1;FP;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD1;FM;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD1;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE2;ES;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE6;FE;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE6;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF2;ES;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF6;FE;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF6;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAG2;ES;2025-07-14 00:00:00;2025-07-14 00:00:00
OSIXAG6;FE;2025-07-14 00:00:00;2025-07-14 00:00:00
OSIXAG6;ON;2025-07-14 00:00:00;2025-07-14 00:00:00
PABICN2;ON;2025-08-11 00:00:00;2025-08-11 00:00:00
OSIXUS2;ES;2025-09-09 00:00:00;2025-09-09 00:00:00
OSIXUS2;FE;2025-09-09 00:00:00;2025-09-09 00:00:00
OSIXUS2;ON;2025-09-09 00:00:00;2025-09-09 00:00:00
LQBUTOOF1;FP;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;ON;2025-05-26 00:00:00;2025-05-26 00:00:00
