cod_producto_comercial;cod_modalidad;fec_alta;fec_baja;cod_sap;cod_upu;ind_obliga_cb;num_intentos_entrega;num_bultos_max;logo;ind_obliga_medidas;largo_min;largo_max;largo_extra_max;ancho_min;ancho_max;ancho_extra_max;alto_min;alto_max;alto_extra_max;criterio_max;criterio_extra;dimension_rollo_min;dimension_rollo_max;diametro_min;diametro_max;criterio_rollo_max;peso_volumetrico_max;volumen;caducidad_min;caducidad_max;tiempo_lista;fec_creacion;fec_actualizacion
PADXA1;DOUAOF;2023-10-31 00:00:00;;S0235;PEXDO;t;2;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;;S0236;PEXOF;t;1;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;;S0176;PRCIT;t;1;10;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;;S0235;PEXDO;t;2;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;;S0236;PEXOF;t;1;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;;S0235;PEXDO;t;2;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;;S0236;PEXOF;t;1;1;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;;S0132;PQDOM;t;2;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB1;OFUAOF;2023-10-31 00:00:00;;S0133;PQELE;t;1;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB1;CIUAOF;2023-10-31 00:00:00;;S0178;STCIT;t;1;10;;t;100;390;390;145;490;490;1;590;590;1470;1470;100;590;100;300;1470;18800;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB3;DOUAOF;2023-10-31 00:00:00;;S0132;PQDOM;t;2;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB3;OFUAOF;2023-10-31 00:00:00;;S0133;PQELE;t;1;1;;t;100;550;550;145;550;550;1;390;390;1490;1490;100;550;100;300;1500;19663;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB4;DOUAOF;2023-10-31 00:00:00;;S0605;PQDOM;t;2;1;;t;100;550;550;145;390;390;1;600;600;1540;1540;100;600;100;300;1540;21450;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB4;OFUAOF;2023-10-31 00:00:00;;S0605;PQELE;t;1;1;;t;100;550;550;145;390;390;1;600;600;1540;1540;100;600;100;300;1540;21450;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAFXB5;URUAOF;2024-02-20 00:00:00;;S0132;PQDOM;f;3;10;;t;100;1200;2400;145;1200;2400;1;1200;2400;2400;3000;100;1200;100;300;1500;85000;0.00;0;180;0;2024-02-20 00:00:00;2024-04-19 00:00:00
PAAXH1;DOUAOF;2023-10-31 00:00:00;;S0411;PPOPM;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAAXI1;DOUAOF;2023-10-31 00:00:00;;S0410;PPOST;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAGXJ1;BUUAOF;2023-10-31 00:00:00;;S0360;LIGHT;t;1;1;;t;90;600;600;140;600;600;1;600;600;900;900;100;900;100;900;1040;2250;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
PAAXK1;DOUAOF;2023-10-31 00:00:00;;S0031;PPOSE;t;1;1;;t;90;1050;1050;140;1050;1050;1;1050;1050;2000;2000;140;1000;100;150;1150;39480;0.00;0;180;15;2023-10-31 00:00:00;2024-04-19 00:00:00
OSIVL2;RAUAOF;2023-10-31 00:00:00;;S0348;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;180;0;2023-10-31 00:00:00;2024-04-19 00:00:00
OSIVL2;ACUAOF;2023-10-31 00:00:00;;S0348;"";f;0;0;;t;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;0;180;0;2023-10-31 00:00:00;2024-04-19 00:00:00
PAGXC1;BUUAOF;2024-01-12 00:00:00;;S0179;PGDOM;t;1;1;;t;100;350;350;150;230;230;1;20;20;600;600;0;0;0;0;0;0;0.00;0;180;15;2024-01-12 00:00:00;2024-04-19 00:00:00
