cod_producto_comercial;cod_sistema;cod_modalidad;cuenta_cont;fec_inicio_destacado;fec_fin_destacado;fec_creacion;fec_actualizacion
PAFXB1;GSP;ORUAOF;0;;;2025-06-30 00:00:00;2025-06-30 00:00:00
PAFXB1;GSV;ORUAOF;0;;;2025-06-30 00:00:00;2025-06-30 00:00:00
PAFXB1;P3;ORUAOF;0;;;2025-06-30 00:00:00;2025-06-30 00:00:00
PAAXH3;PND;DOUAOF;7006015;;;2025-08-27 00:00:00;2025-08-27 00:00:00
PAAXI3;PND;DOUAOF;7005012;;;2025-08-27 00:00:00;2025-08-27 00:00:00
PAGXJ3;PND;BUUAOF;0;;;2025-08-27 00:00:00;2025-08-27 00:00:00
LQBUTOOF1;GSP;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;GSV;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;P3;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;PRS;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;WOO;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;SHP;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;MAG;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
LQBUTOOF1;ATE;BUUAOF;0;;;2025-05-26 00:00:00;2025-05-26 00:00:00
PADXA1;GSP;DOUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;GSV;DOUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;P3;DOUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;GSP;OFUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;GSV;OFUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;P3;OFUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;GSP;CIUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;GSV;CIUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA1;P3;CIUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA3;NEO;DOUAOF;7005015;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA3;P3;DOUAOF;0;;;2024-10-17 00:00:00;2024-10-17 00:00:00
PADXA3;NEO;OFUAOF;7005015;;;2024-10-17 00:00:00;2024-10-17 00:00:00
