cod_prod_prefijo;cod_producto;cod_sistema;cod_modalidad;ind_valor_declarado;ind_entrega_recogida;fec_creacion;fec_actualizacion
PK;PADXA;NEO;DOUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PK;PADXA;CMO;DOUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PK;PADXA;CMO;DOMCIT;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PL;PADXA;NEO;OFUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PL;PADXA;CMO;OFUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PL;PADXA;CMO;OFICIT;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PW;PADXA;NEO;CIUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PQ;PAFXB;NEO;DOUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PQ;PAFXB;CMO;DOUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PQ;PAFXB;IDC;URUAOF;f;f;2024-02-20 00:00:00;2024-04-19 00:00:00
PS;PAFXB;NEO;OFUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PS;PAFXB;CMO;OFUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PY;PAFXB;NEO;CIUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
EJ;PAAXH;IRO;DOUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
CP;PAAXI;IRO;DOUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
LX;PAGXJ;IRO;BUUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
CC;PAAXK;IRO;DOUAOF;f;f;2023-10-31 00:00:00;2024-04-19 00:00:00
CV;PAAXK;IRO;DOUAOF;t;f;2023-10-31 00:00:00;2024-04-19 00:00:00
PH;PAGXC;IRO;BUUAOF;f;f;2024-01-12 00:00:00;2024-04-19 00:00:00
L3;PAAZE;IRO;DOURUA;f;f;2024-01-12 00:00:00;2024-04-19 00:00:00
XP;LOHXM;ATE;PCUAOF;f;f;2024-01-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;ATE;PCUAOF;f;f;2024-01-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;ATE;DSUAOF;f;f;2024-01-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;ATE;DCUAOF;f;f;2024-01-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;ATE;CAUAOF;f;t;2024-01-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;ATE;PEUAOF;f;f;2024-01-19 00:00:00;2024-04-19 00:00:00
FR;FRAXQ;ATE;DOUAOF;f;f;2024-02-20 00:00:00;2024-04-19 00:00:00
FP;FRAXQ;NEO;DOUAOF;f;f;2024-02-20 00:00:00;2024-04-19 00:00:00
FM;FRAXS;ATE;DOUAOF;f;f;2024-02-20 00:00:00;2024-04-19 00:00:00
RI;FRKXU;SGI;CEURUA;f;f;2024-02-20 00:00:00;2024-04-19 00:00:00
PK;PADXA;GSP;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PK;PADXA;PND;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PK;PADXA;PND;DOMCIT;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PL;PADXA;GSP;OFUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PL;PADXA;GSV;OFUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PL;PADXA;PND;OFUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PL;PADXA;PND;OFICIT;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PW;PADXA;GSP;CIUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PW;PADXA;GSV;CIUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PQ;PAFXB;GSP;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PQ;PAFXB;GSV;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PQ;PAFXB;PND;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PS;PAFXB;GSP;OFUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PS;PAFXB;GSV;OFUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PS;PAFXB;PND;OFUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PY;PAFXB;GSP;CIUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PY;PAFXB;GSV;CIUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
EJ;PAAXH;GSP;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
EJ;PAAXH;GSV;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
CP;PAAXI;GSP;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
CP;PAAXI;GSV;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
LX;PAGXJ;GSP;BUUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
LX;PAGXJ;GSV;BUUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
CC;PAAXK;GSP;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
CC;PAAXK;GSV;DOUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
CV;PAAXK;GSP;DOUAOF;t;f;2024-04-19 00:00:00;2024-04-19 00:00:00
CV;PAAXK;GSV;DOUAOF;t;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PH;PAGXC;GSP;BUUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PH;PAGXC;GSV;BUUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
L3;PAAZE;GSP;DOURUA;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
L3;PAAZE;GSV;DOURUA;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
XP;LOHXM;GSV;PCUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
DV;LOHXZ;SGI;DOURUA;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;GSV;PCUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;GSV;DSUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;GSV;DCUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
XI;LOJXO;ATE;CAUAOF;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;GSV;CAUAOF;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
XI;LOJXO;GSV;CAUAOF;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;SGI;AUURUA;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
XL;LOJXO;GSV;PEUAOF;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
X3;LOJXP;ATE;DOURUA;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
X3;LOJXP;GSV;DOURUA;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
DG;LOJXY;SGI;DOURUA;f;f;2024-04-19 00:00:00;2024-04-19 00:00:00
