cod_producto_comercial;cod_modalidad;fec_alta;cod_sobrecoste;importe_fijo;por_sobrecoste;fec_creacion;fec_actualizacion
PADXA1;DOUAOF;2023-10-31 00:00:00;1;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;2;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;3;0.00;70.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;2;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;3;0.00;70.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;1;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;2;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;DOUAOF;2023-10-31 00:00:00;3;0.00;70.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;OFUAOF;2023-10-31 00:00:00;1;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;OFUAOF;2023-10-31 00:00:00;2;0.00;35.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;OFUAOF;2023-10-31 00:00:00;3;0.00;70.00;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;1;0.00;35.00;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;2;0.00;35.00;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE1;DOURUA;2024-01-12 00:00:00;3;0.00;70.00;2024-01-12 00:00:00;2024-01-12 00:00:00
LOJXO1;PCUAOF;2024-01-19 00:00:00;8;0.00;50.00;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;DSUAOF;2024-01-19 00:00:00;8;0.00;50.00;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;DCUAOF;2024-01-19 00:00:00;8;0.00;50.00;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;CAUAOF;2024-01-19 00:00:00;8;0.00;50.00;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO1;AUURUA;2024-01-19 00:00:00;8;0.00;50.00;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXP1;DOURUA;2024-01-19 00:00:00;8;0.00;50.00;2024-01-19 00:00:00;2024-01-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;1;0.00;35.00;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;2;0.00;35.00;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;3;0.00;70.00;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;ESTREG;2024-04-19 00:00:00;9;19.49;0.00;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;ESTESP;2024-04-19 00:00:00;9;19.49;0.00;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA1;ESPESP;2024-04-19 00:00:00;9;32.69;0.00;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;ESTESP;2024-04-19 00:00:00;9;19.49;0.00;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA4;ESTESP;2024-04-19 00:00:00;9;19.49;0.00;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA3;INTESP;2024-10-17 00:00:00;9;19.49;0.00;2024-10-17 00:00:00;2024-10-17 00:00:00
PAFXB1;ORUAOF;2025-06-30 00:00:00;1;0.00;35.00;2025-06-30 00:00:00;2025-06-30 00:00:00
PAFXB1;ORUAOF;2025-06-30 00:00:00;2;0.00;35.00;2025-06-30 00:00:00;2025-06-30 00:00:00
PAFXB1;ORUAOF;2025-06-30 00:00:00;3;0.00;70.00;2025-06-30 00:00:00;2025-06-30 00:00:00
