cod_producto_comercial;cod_modalidad;fec_alta;cod_tam_simple;fec_creacion;fec_actualizacion
PADXA1;CIUAOF;2023-10-31 00:00:00;1020000010;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1020000020;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1020000030;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1020000040;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1020000050;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;1010000010;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;1010000020;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;1010000030;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOUAOF;2023-10-31 00:00:00;1010000040;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;1010000010;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;1010000020;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;1010000030;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFUAOF;2023-10-31 00:00:00;1010000040;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;1020000010;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;1020000020;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;1020000030;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;1020000040;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;DOMCIT;2023-10-31 00:00:00;1020000050;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;1020000010;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;1020000020;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;1020000030;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;1020000040;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA3;OFICIT;2023-10-31 00:00:00;1020000050;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB1;CIUAOF;2023-10-31 00:00:00;1020000010;2023-10-31 00:00:00;2023-10-31 00:00:00
