cod_producto;cod_tipo_formato;fec_creacion;fec_actualizacion
PADXA;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAFXB;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXH;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXI;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXJ;3;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK;2;2023-10-31 00:00:00;2023-10-31 00:00:00
PAAXK;3;2023-10-31 00:00:00;2023-10-31 00:00:00
OSIVL;4;2023-10-31 00:00:00;2023-10-31 00:00:00
PAGXC;1;2024-01-12 00:00:00;2024-01-12 00:00:00
PAGXC;3;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE;1;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE;2;2024-01-12 00:00:00;2024-01-12 00:00:00
PAAZE;3;2024-01-12 00:00:00;2024-01-12 00:00:00
LOHXM;5;2024-01-19 00:00:00;2024-01-19 00:00:00
LOHXN;5;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO;1;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXO;5;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXP;1;2024-01-19 00:00:00;2024-01-19 00:00:00
LOJXP;5;2024-01-19 00:00:00;2024-01-19 00:00:00
FRAXQ;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXR;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXS;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRAXT;1;2024-02-20 00:00:00;2024-02-20 00:00:00
FRKXU;1;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXZ;5;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXY;1;2024-04-19 00:00:00;2024-04-19 00:00:00
LOJXY;5;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD;2;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD;3;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF;2;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF;3;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG;2;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZG;3;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV;2;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV;3;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW;2;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZW;3;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX;1;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX;2;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZX;3;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA;1;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA;2;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA;3;2024-04-19 00:00:00;2024-04-19 00:00:00
OSIXAA;5;2024-04-19 00:00:00;2024-04-19 00:00:00
EDKVAB;3;2024-06-06 00:00:00;2024-06-06 00:00:00
EDKVAB;4;2024-06-06 00:00:00;2024-06-06 00:00:00
POAXAC;1;2024-08-30 00:00:00;2024-08-30 00:00:00
POAXAC;2;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAC;3;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD;1;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD;2;2024-10-17 00:00:00;2024-10-17 00:00:00
POAXAD;3;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAE;6;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAF;6;2024-10-17 00:00:00;2024-10-17 00:00:00
OSIXAG;6;2025-07-14 00:00:00;2025-07-14 00:00:00
OSIXUS;6;2025-09-09 00:00:00;2025-09-09 00:00:00
