cod_producto_comercial;cod_modalidad;fec_alta;cod_va;cod_pais;fec_baja;ind_obligatorio;cod_grp_va_obligatorio;tipo_emb;num_intentos_entrega_min;num_intentos_entrega_max;tiempo_lista_min;tiempo_lista_max;importe_min;importe_max;tiempo_custodia;ind_envio;fec_creacion;fec_actualizacion
PAAXD1;DOUAOF;2024-04-19 00:00:00;ARNAPO;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;RISIPO;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;REDOPO;ESP;;f;;0;0;0;0;0;0.01;499.99;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;ARNAPO;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;RISIPO;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;REDOPO;AND;;f;;0;0;0;0;0;0.01;499.99;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;SEESPA;ESP;;f;;0;0;0;0;0;0.00;500.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;PEE5TO;ESP;;f;;0;0;0;0;0;0.00;0.00;60;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;PEE10TO;ESP;;f;;0;0;0;0;0;0.00;0.00;120;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;PEE15TO;ESP;;f;;0;0;0;0;0;0.00;0.00;180;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;EEDPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;PINEPA;ESP;;f;;0;1;3;0;0;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;PELIPA;ESP;;f;;0;0;0;1;30;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;GEEAPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;APEPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;SEESPA;ESP;;f;;0;0;0;0;0;0.00;500.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;PEE5TO;ESP;;f;;0;0;0;0;0;0.00;0.00;60;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;PEE10TO;ESP;;f;;0;0;0;0;0;0.00;0.00;120;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;PEE15TO;ESP;;f;;0;0;0;0;0;0.00;0.00;180;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;EEDPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;PELIPA;ESP;;f;;0;0;0;1;30;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;GEEAPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;OFUAOF;2024-04-19 00:00:00;APEPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;CIUAOF;2024-04-19 00:00:00;SEESPA;ESP;;f;;0;0;0;0;0;0.00;500.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZF1;CIUAOF;2024-04-19 00:00:00;PELIPA;ESP;;f;;0;0;0;1;30;0.00;0.00;0;t;2024-04-19 00:00:00;2024-04-19 00:00:00
FRAXS1;DOUAOF;2024-02-20 00:00:00;REICPA;ESP;;f;;"";0;0;0;0;0.01;999.99;0;f;2024-02-20 00:00:00;2025-01-16 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;REICPO;ESP;;f;;0;0;0;0;0;0.01;999.99;0;f;2024-04-19 00:00:00;2025-01-16 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;GEEAPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOACPPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOACMPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOACGPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOSEPPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOSEMPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOSEGPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;CAJPEPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;CAJMEPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;CAJGRPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;ENRECPA;ESP;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAXD1;DOUAOF;2024-04-19 00:00:00;REICPO;AND;;f;;0;0;0;0;0;0.01;999.99;0;f;2024-04-19 00:00:00;2025-01-16 00:00:00
PAAZF1;DOUAOF;2024-04-19 00:00:00;REICPA;ESP;;f;;0;0;0;0;0;0.01;999.99;0;t;2024-04-19 00:00:00;2025-01-16 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;GEEAPA;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOACPPA;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOACMPA;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOACGPA;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOSEPPA;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
PAAZV1;DOURUA;2024-04-19 00:00:00;SOSEMPA;AND;;f;;0;0;0;0;0;0.00;0.00;0;f;2024-04-19 00:00:00;2024-04-19 00:00:00
