cod_producto_comercial;cod_modalidad;fec_alta;cod_ambito;cod_zona_tarif;cod_tasa_impositiva;fec_creacion;fec_actualizacion
PAFXB5;URUAOF;2024-02-20 00:00:00;10;B5URAZUNI;101;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;101;M1PCZP0140;101;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;101;M1PCZP0141;101;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;101;M1PCZP0142;101;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;101;M1PCZP0143;101;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;101;M1PCZP0144;101;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;101;M1PCZP0145;101;2024-02-20 00:00:00;2024-02-20 00:00:00
LOHXN1;DOURUA;2024-01-19 00:00:00;101;M1PCZP0146;101;2024-02-20 00:00:00;2024-02-20 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;2;A1DOFZ01;201;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;2;A1DOFZ05;206;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;2;A1DOFZ06;206;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;2;A1DOFZ09;206;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;3;A1DOFZ01;301;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;3;A1DOFZ04;306;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;3;A1DOFZ05;306;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;3;A1DOFZ08;306;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;4;A1DOFZ01;401;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;4;A1DOFZ04;406;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;4;A1DOFZ05;406;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;4;A1DOFZ08;406;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;5;A1DOFZ01;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;5;A1DOFZ03;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;5;A1DOFZ03P;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;5;A1DOFZ04;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;5;A1DOFZ05;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;DOUAOF;2023-10-31 00:00:00;5;A1DOFZ07;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;A1DOFZ01;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;A1DOFZ02;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;A1DOFZ03;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;A1DOFZ03P;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;A1DOFZ04;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;1;A1DOFZ05;106;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;2;A1DOFZ01;201;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;2;A1DOFZ05;206;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;2;A1DOFZ06;206;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;3;A1DOFZ01;301;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;3;A1DOFZ04;306;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;3;A1DOFZ05;306;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;4;A1DOFZ01;401;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;4;A1DOFZ04;406;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;4;A1DOFZ05;406;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;5;A1DOFZ01;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;5;A1DOFZ03;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;5;A1DOFZ03P;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;5;A1DOFZ04;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;OFUAOF;2023-10-31 00:00:00;5;A1DOFZ05;506;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1;A1CIZ01;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1;A1CIZ02;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1;A1CIZ03;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1;A1CIZ03P;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1;A1CIZ04;101;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;1;A1CIZ05;106;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;2;A1CIZ01;201;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;2;A1CIZ05;206;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;2;A1CIZ06;206;2023-10-31 00:00:00;2023-10-31 00:00:00
PADXA1;CIUAOF;2023-10-31 00:00:00;3;A1CIZ04;306;2023-10-31 00:00:00;2023-10-31 00:00:00
