cod_sistema;nom_sistema;fec_creacion;fec_actualizacion
NEO;Mi Oficina;2023-10-31 00:00:00;2023-10-31 00:00:00
CMO;APP de Correos;2023-10-31 00:00:00;2023-10-31 00:00:00
PHR;Portal de Procesos Masivos Recursos Humanos;2023-10-31 00:00:00;2023-10-31 00:00:00
MKA;APP de Correos Market;2023-10-31 00:00:00;2023-10-31 00:00:00
MKW;Web de Correos Market;2023-10-31 00:00:00;2023-10-31 00:00:00
CAM;Web Camino de Santiago;2023-10-31 00:00:00;2023-10-31 00:00:00
COM;Soluciones ecommerce de Correos (Comandia);2023-10-31 00:00:00;2023-10-31 00:00:00
CPQ;Citypaq;2023-10-31 00:00:00;2023-10-31 00:00:00
MAU;Máquinas de Autoservico de Oficinas;2023-10-31 00:00:00;2023-10-31 00:00:00
SAM;Correos Sampling;2023-10-31 00:00:00;2023-10-31 00:00:00
PRS;Prestashop;2023-10-31 00:00:00;2023-10-31 00:00:00
WOO;Woocommerce;2023-10-31 00:00:00;2023-10-31 00:00:00
SHP;Shopify;2023-10-31 00:00:00;2023-10-31 00:00:00
MAG;Magento;2023-10-31 00:00:00;2023-10-31 00:00:00
ATE;Atenea;2023-10-31 00:00:00;2023-10-31 00:00:00
IRO;IRIS en Oficinas;2023-10-31 00:00:00;2023-10-31 00:00:00
IRU;IRIS en UAM's;2023-10-31 00:00:00;2023-10-31 00:00:00
IDC;Integraciones de Clientes;2024-02-20 00:00:00;2024-02-20 00:00:00
SGI;SGIE;2024-02-20 00:00:00;2024-02-20 00:00:00
GSP;GESIP;2024-02-20 00:00:00;2024-02-20 00:00:00
GSV;GESERVUS;2024-04-19 00:00:00;2024-04-19 00:00:00
PND;Pandora;2024-04-19 00:00:00;2024-04-19 00:00:00
SED;SEDI;2024-06-06 00:00:00;2024-06-06 00:00:00
P3;P3;2024-10-17 00:00:00;2024-10-17 00:00:00
