cod_sistema;cod_canal;fec_creacion;fec_actualizacion
NEO;1;2023-10-31 00:00:00;2023-10-31 00:00:00
CMO;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PHR;1;2023-10-31 00:00:00;2023-10-31 00:00:00
MKA;1;2023-10-31 00:00:00;2023-10-31 00:00:00
MKW;1;2023-10-31 00:00:00;2023-10-31 00:00:00
CAM;1;2023-10-31 00:00:00;2023-10-31 00:00:00
COM;1;2023-10-31 00:00:00;2023-10-31 00:00:00
CPQ;2;2023-10-31 00:00:00;2023-10-31 00:00:00
MAU;2;2023-10-31 00:00:00;2023-10-31 00:00:00
SAM;1;2023-10-31 00:00:00;2023-10-31 00:00:00
PRS;1;2023-10-31 00:00:00;2023-10-31 00:00:00
WOO;1;2023-10-31 00:00:00;2023-10-31 00:00:00
SHP;1;2023-10-31 00:00:00;2023-10-31 00:00:00
MAG;1;2023-10-31 00:00:00;2023-10-31 00:00:00
ATE;1;2023-10-31 00:00:00;2023-10-31 00:00:00
IRO;2;2023-10-31 00:00:00;2023-10-31 00:00:00
IRU;2;2023-10-31 00:00:00;2023-10-31 00:00:00
IDC;3;2024-02-20 00:00:00;2024-02-20 00:00:00
SGI;4;2024-02-20 00:00:00;2024-02-20 00:00:00
GSP;5;2024-02-20 00:00:00;2024-02-20 00:00:00
GSV;5;2024-04-19 00:00:00;2024-04-19 00:00:00
PND;1;2024-04-19 00:00:00;2024-04-19 00:00:00
SED;2;2024-06-06 00:00:00;2024-06-06 00:00:00
P3;5;2024-10-17 00:00:00;2024-10-17 00:00:00
