cod_tam_simple;cod_sobrecoste;exceso_simple;exceso_ampliado;exceso_peso_altura;coeficiente_ampliado;fec_creacion;fec_actualizacion
2010000020;4;10;50;0;0.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000020;5;10;50;0;2.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000020;6;10;50;0;2.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000030;4;10;50;0;0.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000030;5;10;50;0;2.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000030;6;10;50;0;2.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000040;4;10;50;0;0.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000040;5;10;50;0;2.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000040;6;10;50;0;2.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000040;7;0;0;10;0.00;2024-01-19 00:00:00;2024-01-19 00:00:00
2010000035;4;10;50;0;0.00;2024-04-19 00:00:00;2024-04-19 00:00:00
2010000035;5;10;50;0;2.00;2024-04-19 00:00:00;2024-04-19 00:00:00
2010000035;6;10;50;0;2.00;2024-04-19 00:00:00;2024-04-19 00:00:00
