cod_tramo;limite_min;limite_max;cod_medida;fec_creacion;fec_actualizacion
0;0;0;0;2023-10-31 00:00:00;2023-10-31 00:00:00
1010000500;251;500;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010001000;501;1000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010002000;1001;2000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010003000;2001;3000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010004000;3001;4000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010005000;4001;5000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010006000;5001;6000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010007000;6001;7000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010008000;7001;8000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010009000;8001;9000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010010000;9001;10000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010011000;10001;11000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010012000;11001;12000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010013000;12001;13000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010014000;13001;14000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010015000;14001;15000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010016000;15001;16000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010017000;16001;17000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010018000;17001;18000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010019000;18001;19000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010020000;19001;20000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010021000;20001;21000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010022000;21001;22000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010023000;22001;23000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010024000;23001;24000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010025000;24001;25000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010026000;25001;26000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010027000;26001;27000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010028000;27001;28000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010029000;28001;29000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010030000;29001;30000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010031000;30001;31000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010032000;31001;32000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010033000;32001;33000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010034000;33001;34000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010035000;34001;35000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010036000;35001;36000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010037000;36001;37000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010038000;37001;38000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010039000;38001;39000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1010040000;39001;40000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1020005000;2001;5000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1020010000;5001;10000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1020020000;10001;20000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1030025000;15001;25000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1110000750;501;750;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1110001000;751;1000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1110001500;1001;1500;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1110002000;1501;2000;1;2023-10-31 00:00:00;2023-10-31 00:00:00
1050000100;51;100;1;2024-01-12 00:00:00;2024-01-12 00:00:00
