cod_tramo;cod_idioma_alpha2;nom_tramo;fec_creacion;fec_actualizacion
1010000250;es;Hasta 250 g;2023-10-31 00:00:00;2023-10-31 00:00:00
1010000500;es;Más de 250 g hasta 500 g;2023-10-31 00:00:00;2023-10-31 00:00:00
1010001000;es;Más de 500 g hasta 1000 g;2023-10-31 00:00:00;2023-10-31 00:00:00
1010002000;es;Más de 1 kg hasta 2 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010003000;es;Más de 2 kg hasta 3 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010004000;es;Más de 3 kg hasta 4 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010005000;es;Más de 4 kg hasta 5 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010006000;es;Más de 5 kg hasta 6 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010007000;es;Más de 6 kg hasta 7 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010008000;es;Más de 7 kg hasta 8 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010009000;es;Más de 8 kg hasta 9 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010010000;es;Más de 9 kg hasta 10 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010011000;es;Más de 10 kg hasta 11 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010012000;es;Más de 11 kg hasta 12 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010013000;es;Más de 12 kg hasta 13 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010014000;es;Más de 13 kg hasta 14 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010015000;es;Más de 14 kg hasta 15 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010016000;es;Más de 15 kg hasta 16 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010017000;es;Más de 16 kg hasta 17 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010018000;es;Más de 17 kg hasta 18 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010019000;es;Más de 18 kg hasta 19 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010020000;es;Más de 19 kg hasta 20 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010021000;es;Más de 20 kg hasta 21 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010022000;es;Más de 21 kg hasta 22 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010023000;es;Más de 22 kg hasta 23 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010024000;es;Más de 23 kg hasta 24 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
1010025000;es;Más de 24 kg hasta 25 kg;2023-10-31 00:00:00;2023-10-31 00:00:00
