cod_va;fec_creacion;fec_actualizacion
VADEPA;2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;2023-10-31 00:00:00;2023-10-31 00:00:00
REICPA;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;2023-10-31 00:00:00;2023-10-31 00:00:00
EEDPA;2023-10-31 00:00:00;2023-10-31 00:00:00
PINEPA;2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;2023-10-31 00:00:00;2023-10-31 00:00:00
FEEDPA;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;2023-10-31 00:00:00;2023-10-31 00:00:00
APEPA;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;2023-10-31 00:00:00;2023-10-31 00:00:00
SEINPA;2023-10-31 00:00:00;2023-10-31 00:00:00
VDINPO;2023-10-31 00:00:00;2023-10-31 00:00:00
REINPO;2023-10-31 00:00:00;2023-10-31 00:00:00
ARINPO;2023-10-31 00:00:00;2023-10-31 00:00:00
SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
VADELO;2024-01-19 00:00:00;2024-01-19 00:00:00
DESPAXP;2024-01-19 00:00:00;2024-01-19 00:00:00
CENOXP;2024-01-19 00:00:00;2024-01-19 00:00:00
DEM30XP;2024-01-19 00:00:00;2024-01-19 00:00:00
RAEEXL;2024-01-19 00:00:00;2024-01-19 00:00:00
ENRECLO;2024-01-19 00:00:00;2024-01-19 00:00:00
REDOPA;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;2024-02-20 00:00:00;2024-02-20 00:00:00
ARNAPO;2024-04-19 00:00:00;2024-04-19 00:00:00
RISIPO;2024-04-19 00:00:00;2024-04-19 00:00:00
REICPO;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;2024-04-19 00:00:00;2024-04-19 00:00:00
ENRECPA;2024-04-19 00:00:00;2024-04-19 00:00:00
COPRISF;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRSF;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSDSF;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRDSF;2024-06-06 00:00:00;2024-06-06 00:00:00
GENADPO;2024-08-30 00:00:00;2024-08-30 00:00:00
RIENPO;2024-08-30 00:00:00;2024-08-30 00:00:00
GECCMPO;2024-10-17 00:00:00;2024-10-17 00:00:00
VDNAPO;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;2024-10-17 00:00:00;2024-10-17 00:00:00
CLAENPO;2024-10-17 00:00:00;2024-10-17 00:00:00
TEINEPO;2024-10-17 00:00:00;2024-10-17 00:00:00
EFHALO;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;2025-01-16 00:00:00;2025-01-16 00:00:00
