cod_va;cod_perfil;cod_franqueo;fec_creacion;fec_actualizacion
VADEPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
REICPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
REICPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
EEDPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
EEDPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PINEPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PINEPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
FEEDPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
FEEDPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
APEPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
APEPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;3;FE;2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;3;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;4;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;4;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
SEINPA;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
SEINPA;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
VDINPO;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
VDINPO;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
REINPO;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
REINPO;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
ARINPO;1;FP;2023-10-31 00:00:00;2023-10-31 00:00:00
ARINPO;1;ON;2023-10-31 00:00:00;2023-10-31 00:00:00
SOACPPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;1;FP;2024-01-12 00:00:00;2024-01-12 00:00:00
VADELO;1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
DESPAXP;1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
CENOXP;1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
DEM30XP;1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
RAEEXL;1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
ENRECLO;1;FP;2024-01-19 00:00:00;2024-01-19 00:00:00
VADEPA;2;ON;2024-02-20 00:00:00;2024-02-20 00:00:00
REICPA;2;ON;2024-02-20 00:00:00;2024-02-20 00:00:00
REDOPA;2;ON;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;1;FP;2024-02-20 00:00:00;2024-02-20 00:00:00
GEENFR;2;ON;2024-02-20 00:00:00;2024-02-20 00:00:00
ARNAPO;1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
RISIPO;1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
REICPO;1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
ENRECPA;1;FP;2024-04-19 00:00:00;2024-04-19 00:00:00
COPRISF;2;ES;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRSF;2;ES;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSDSF;2;ES;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRDSF;2;ES;2024-06-06 00:00:00;2024-06-06 00:00:00
GENADPO;1;FP;2024-08-30 00:00:00;2024-08-30 00:00:00
GENADPO;1;FM;2024-08-30 00:00:00;2024-08-30 00:00:00
GENADPO;1;ON;2024-08-30 00:00:00;2024-08-30 00:00:00
RIENPO;1;FP;2024-08-30 00:00:00;2024-08-30 00:00:00
RIENPO;1;FM;2024-08-30 00:00:00;2024-08-30 00:00:00
RIENPO;1;ON;2024-08-30 00:00:00;2024-08-30 00:00:00
PEE5TO;1;FM;2024-08-30 00:00:00;2024-08-30 00:00:00
PEE10TO;1;FM;2024-08-30 00:00:00;2024-08-30 00:00:00
PEE15TO;1;FM;2024-08-30 00:00:00;2024-08-30 00:00:00
SEINPA;3;ON;2024-08-30 00:00:00;2024-08-30 00:00:00
GECCMPO;1;FP;2024-10-17 00:00:00;2024-10-17 00:00:00
GECCMPO;1;FM;2024-10-17 00:00:00;2024-10-17 00:00:00
GECCMPO;1;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
VDNAPO;1;FP;2024-10-17 00:00:00;2024-10-17 00:00:00
VDNAPO;1;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;1;FP;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;1;FM;2024-10-17 00:00:00;2024-10-17 00:00:00
GEDIDPO;1;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
CLAENPO;1;FP;2024-10-17 00:00:00;2024-10-17 00:00:00
CLAENPO;1;FM;2024-10-17 00:00:00;2024-10-17 00:00:00
CLAENPO;1;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
TEINEPO;1;FP;2024-10-17 00:00:00;2024-10-17 00:00:00
TEINEPO;1;ON;2024-10-17 00:00:00;2024-10-17 00:00:00
EFHALO;1;FP;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;1;FP;2025-01-16 00:00:00;2025-01-16 00:00:00
