cod_va;cod_perfil;fec_alta;cod_idioma_alpha2;fec_baja;nom_va;desc_va;desc_va_ext;fec_creacion;fec_actualizacion
VADEPA;1;2023-10-31 00:00:00;es;;Valor Declarado de paqueteria empresarial;Asegura tu envío declarando su valor hasta un límite de 6.000 ?;El máximo de la indemnización dependerá de la cantidad asegurada;2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;3;2023-10-31 00:00:00;es;;Valor Declarado de paqueteria;Asegura tu envío declarando su valor hasta un límite de 6.000 ?;El máximo de la indemnización dependerá de la cantidad asegurada;2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;4;2023-10-31 00:00:00;es;;Valor Declarado de paqueteria;Asegura tu envío declarando su valor hasta un límite de 6.000 ?;El máximo de la indemnización dependerá de la cantidad asegurada;2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;1;2023-10-31 00:00:00;es;;Seguro Estándar;Asegura tu envío por un máximo de 15 ? por kg transportado;El máximo de la indemnización dependerá del peso total del envío, sin llegar a superar los 500 ?;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;1;2023-10-31 00:00:00;es;;Prueba de Entrega Electrónica con custodia de 5 años;Recibe un documento digital que acredite la entrega del envío;El documento que certifica la entrega será custodiado por Correos durante 5 años;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;1;2023-10-31 00:00:00;es;;Prueba de Entrega Electrónica con custodia de 10 años;Recibe un documento digital que acredite la entrega del envío;El documento que certifica la entrega será custodiado por Correos durante 10 años;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;1;2023-10-31 00:00:00;es;;Prueba de Entrega Electrónica con custodia de 15 años;Recibe un documento digital que acredite la entrega del envío;El documento que certifica la entrega será custodiado por Correos durante 15 años;2023-10-31 00:00:00;2023-10-31 00:00:00
EEDPA;1;2023-10-31 00:00:00;es;;Entrega Exclusiva al Destinatario;El envío se entregará únicamente al destinatario previa comprobación del DNI;El destinatario no tendrá la posibilidad de autorizar a un tercero para su recogida;2023-10-31 00:00:00;2023-10-31 00:00:00
PINEPA;1;2023-10-31 00:00:00;es;;Parametrización Intentos de Entrega;Elige entre 1 o 3 intentos de entrega;Por defecto se realizan 2 intentos de entrega;2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;1;2023-10-31 00:00:00;es;;Tiempo en Lista;Parametriza el tiempo que permanece en la oficina para su recogida, por defecto 15 días, pudiendo elegir de 0 a 30 días;Tanto si el envío no se ha podido entregar en domicilio como si se debe recoger en una oficina, el envío se pasa a lista;2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;4;2023-10-31 00:00:00;es;;Tiempo en Lista para iPaq Peregrino;Amplía el tiempo de permanencia del envío en la oficina para su recogida, que por defecto es de 15 días, a 30 días;Tanto si el envío no se ha podido entregar en domicilio como si se debe recoger en una oficina, el envío se pasa a lista;2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;1;2023-10-31 00:00:00;es;;Gestión en la Entrega/Admisión;Permite elegir las tareas adicionales sin las cuales el paquete no se puede entregar o admitir;Dichas tareas, como por ejemplo comprobar la mercancía, serán acordadas con Correos;2023-10-31 00:00:00;2023-10-31 00:00:00
FEEDPA;1;2023-10-31 00:00:00;es;;Fecha de Entrega Determinada;Permite elegir el día que quieres que el destinatario reciba el envío;Se podrá elegir entre los siguientes 15 días al depósito del envío;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;1;2023-10-31 00:00:00;es;;Entrega en Franja Horaria;Elige la franja horaria en la quieres recibir el envío;Es posible elegir entre cuatro franjas horarias: 9-12 / 12-15 / 15-18 / 18-21 (siempre y cuando la población disponga de reparto de tarde);2023-10-31 00:00:00;2023-10-31 00:00:00
