cod_va;cod_tasa_impositiva;fec_creacion;fec_actualizacion
VADEPA;106;2024-05-30 00:00:00;2024-05-30 00:00:00
VADEPA;206;2024-05-30 00:00:00;2024-05-30 00:00:00
VADEPA;306;2024-05-30 00:00:00;2024-05-30 00:00:00
VADEPA;406;2024-05-30 00:00:00;2024-05-30 00:00:00
VADEPA;506;2024-05-30 00:00:00;2024-05-30 00:00:00
SEESPA;106;2024-05-30 00:00:00;2024-05-30 00:00:00
SEESPA;206;2024-05-30 00:00:00;2024-05-30 00:00:00
SEESPA;306;2024-05-30 00:00:00;2024-05-30 00:00:00
SEESPA;406;2024-05-30 00:00:00;2024-05-30 00:00:00
SEESPA;506;2024-05-30 00:00:00;2024-05-30 00:00:00
REICPA;101;2024-05-30 00:00:00;2024-05-30 00:00:00
REICPA;201;2024-05-30 00:00:00;2024-05-30 00:00:00
REICPA;301;2024-05-30 00:00:00;2024-05-30 00:00:00
REICPA;401;2024-05-30 00:00:00;2024-05-30 00:00:00
REICPA;506;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE5TO;101;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE5TO;201;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE5TO;301;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE5TO;401;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE5TO;506;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE10TO;101;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE10TO;201;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE10TO;301;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE10TO;401;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE10TO;506;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE15TO;101;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE15TO;201;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE15TO;301;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE15TO;401;2024-05-30 00:00:00;2024-05-30 00:00:00
PEE15TO;506;2024-05-30 00:00:00;2024-05-30 00:00:00
EEDPA;101;2024-05-30 00:00:00;2024-05-30 00:00:00
EEDPA;201;2024-05-30 00:00:00;2024-05-30 00:00:00
EEDPA;301;2024-05-30 00:00:00;2024-05-30 00:00:00
EEDPA;401;2024-05-30 00:00:00;2024-05-30 00:00:00
EEDPA;506;2024-05-30 00:00:00;2024-05-30 00:00:00
