cod_va;cod_perfil;fec_alta;fec_baja;cod_sap;importe_base;importe_min;por_incremento;valor_complejidad;desc_precio_va;cod_formula;desc_formula;fec_creacion;fec_actualizacion
VADEPA;1;2023-10-31 00:00:00;;SAC058;0.00;1.50;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;1;2023-10-31 00:00:00;;SAC059;0.03;1.00;1000.00;;Hasta (por_incremento) kg de peso: (importe_min) ?. Por cada kg de peso adicional, se sumarÃ¡ (importe_base) ?;3;Hasta peso mÃ­nimo (por_incremento) = importe fijo (importe_min). Para pesos superiores -> (importe_min) + (kg extra * importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
REICPA;1;2023-10-31 00:00:00;;SAC057;0.00;1.75;2.75;;Se cobrarÃ¡ sobre el valor del reembolso el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;1;2023-10-31 00:00:00;;SAC079;0.91;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;1;2023-10-31 00:00:00;;SAC176;2.69;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;1;2023-10-31 00:00:00;;SAC177;4.01;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
EEDPA;1;2023-10-31 00:00:00;;SAC045;1.65;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
PINEPA;1;2023-10-31 00:00:00;;SAC174;1.00;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;1;2023-10-31 00:00:00;;SAC175;1.00;0.25;0.00;;Plazo igual o menor a 14 dÃ­as: (importe_base) ?. Plazo igual o superior a 16 dÃ­as, coste compuesto por dos conceptos: tarifa fija de (importe_base) ? + tarifa de (importe_min) ? por cada dÃ­a;5;Dias <= 14 -> (importe_base). Dias > 15 -> (importe_base) + (importe_min * n dias(Input-15));2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;1;2023-10-29 00:00:00;;SAC185;2.05;0.00;0.00;1;El nivel 1 - fÃ¡cil, tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;1;2023-10-30 00:00:00;;SAC185;5.00;0.00;0.00;2;El nivel 2 - medio, tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
GEEAPA;1;2023-10-31 00:00:00;;SAC185;10.00;0.00;0.00;3;El nivel 3 - complejo, tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
FEEDPA;1;2023-10-31 00:00:00;;SAC097;0.00;0.00;0.00;;Se ofrece de forma gratuita a los clientes con contrato;6;Gratis;2023-10-31 00:00:00;2023-10-31 00:00:00
ENFHPA;1;2023-10-31 00:00:00;;SAC098;0.00;0.00;0.00;;Se ofrece de forma gratuita a los clientes con contrato;6;Gratis;2023-10-31 00:00:00;2023-10-31 00:00:00
APEPA;1;2023-10-31 00:00:00;;SAC186;0.00;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
ESDOPA;1;2023-10-31 00:00:00;;SAC164;2.10;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
ESVAPA;1;2023-10-31 00:00:00;;SAC165;3.90;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;3;2023-10-31 00:00:00;;SAC058;0.00;1.67;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2023-10-31 00:00:00;2023-10-31 00:00:00
VADEPA;4;2023-10-31 00:00:00;;SAC058;0.00;1.67;1.50;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2023-10-31 00:00:00;2023-10-31 00:00:00
PELIPA;4;2023-10-31 00:00:00;;SAC175;8.00;0.00;0.00;;Tiene un coste de (importe_base) ?;1;Importe fijo (importe_base);2023-10-31 00:00:00;2023-10-31 00:00:00
SEINPA;1;2023-10-31 00:00:00;;SAC055;0.00;2.04;1.00;;Se cobrarÃ¡ sobre el valor asegurado el porcentaje de (por_incremento), con un importe mÃ­nimo de (importe_min) ?;2;Input por un % (por_incremento) con un mÃ­nimo (importe_min);2023-10-31 00:00:00;2023-10-31 00:00:00
