cod_va;cod_va_rest;fec_creacion;fec_actualizacion
VADEPA;SEESPA;2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;VADEPA;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;PEE10TO;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;PEE15TO;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;PEE5TO;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;PEE15TO;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;PEE5TO;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;PEE10TO;2023-10-31 00:00:00;2023-10-31 00:00:00
SOACPPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEMPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEGPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJPEPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJMEPA;CAJGRPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;SOACPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;SOACMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;SOACGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;SOSEPPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;SOSEMPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;SOSEGPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;CAJPEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
CAJGRPA;CAJMEPA;2024-01-12 00:00:00;2024-01-12 00:00:00
REICPA;REDOPA;2024-02-20 00:00:00;2024-02-20 00:00:00
REDOPA;REICPA;2024-02-20 00:00:00;2024-02-20 00:00:00
ARNAPO;PEE5TO;2024-04-19 00:00:00;2024-04-19 00:00:00
PEE5TO;ARNAPO;2024-04-19 00:00:00;2024-04-19 00:00:00
REICPO;REDOPO;2024-04-19 00:00:00;2024-04-19 00:00:00
REDOPO;REICPO;2024-04-19 00:00:00;2024-04-19 00:00:00
SMSRSF;SMSRDSF;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSDSF;SMSRDSF;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRDSF;SMSRSF;2024-06-06 00:00:00;2024-06-06 00:00:00
SMSRDSF;SMSDSF;2024-06-06 00:00:00;2024-06-06 00:00:00
RISIPO;RIENPO;2024-08-30 00:00:00;2024-08-30 00:00:00
RIENPO;RISIPO;2024-08-30 00:00:00;2024-08-30 00:00:00
EFHALO;EFHRLO;2025-01-16 00:00:00;2025-01-16 00:00:00
EFHRLO;EFHALO;2025-01-16 00:00:00;2025-01-16 00:00:00
