cod_va;cod_va_rest;cod_idioma_alpha2;desc_restriccion;fec_creacion;fec_actualizacion
VADEPA;SEESPA;es;Sólo se puede contratar una modalidad de seguro: si se contrata el Valor Declarado de paquetería, no se puede contratar el Seguro Estándar;2023-10-31 00:00:00;2023-10-31 00:00:00
SEESPA;VADEPA;es;Sólo se puede contratar una modalidad de seguro: si se contrata el Seguro Estándar, no se puede contratar el Valor Declarado de paquetería;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;PEE10TO;es;Sólo se puede contratar una modalidad de prueba de entrega: si se contrata la Prueba de Entrega Electrónica con custodia de 5 años, no se puede contratar la misma con custodia de 10 años;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE5TO;PEE15TO;es;Sólo se puede contratar una modalidad de prueba de entrega: si se contrata la Prueba de Entrega Electrónica con custodia de 5 años, no se puede contratar la misma con custodia de 15 años;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;PEE5TO;es;Sólo se puede contratar una modalidad de prueba de entrega: si se contrata la Prueba de Entrega Electrónica con custodia de 10 años, no se puede contratar la misma con custodia de 5 años;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE10TO;PEE15TO;es;Sólo se puede contratar una modalidad de prueba de entrega: si se contrata la Prueba de Entrega Electrónica con custodia de 10 años, no se puede contratar la misma con custodia de 15 años;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;PEE5TO;es;Sólo se puede contratar una modalidad de prueba de entrega: si se contrata la Prueba de Entrega Electrónica con custodia de 15 años, no se puede contratar la misma con custodia de 5 años;2023-10-31 00:00:00;2023-10-31 00:00:00
PEE15TO;PEE10TO;es;Sólo se puede contratar una modalidad de prueba de entrega: si se contrata la Prueba de Entrega Electrónica con custodia de 15 años, no se puede contratar la misma con custodia de 10 años;2023-10-31 00:00:00;2023-10-31 00:00:00
SOACPPA;SOACMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar el Sobre Acolchado Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOACGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar el Sobre Acolchado Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOSEPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar el Sobre Semirrígido Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOSEMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar el Sobre Semirrígido Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;SOSEGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar el Sobre Semirrígido Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;CAJPEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar la Caja Pequeña;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACPPA;CAJGRPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Pequeño, no se puede seleccionar la Caja Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOACPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar el Sobre Acolchado Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOACGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar el Sobre Acolchado Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOSEPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar el Sobre Semirrígido Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOSEMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar el Sobre Semirrígido Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;SOSEGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar el Sobre Semirrígido Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;CAJPEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar la Caja Pequeña;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACMPA;CAJGRPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Mediano, no se puede seleccionar la Caja Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOACPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar el Sobre Acolchado Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOACMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar el Sobre Acolchado Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOSEPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar el Sobre Semirrígido Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOSEMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar el Sobre Semirrígido Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;SOSEGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar el Sobre Semirrígido Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJPEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar la Caja Pequeña;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJMEPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar la Caja Mediana;2024-01-12 00:00:00;2024-01-12 00:00:00
SOACGPA;CAJGRPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Acolchado Grande, no se puede seleccionar la Caja Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACPPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Acolchado Pequeño;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Acolchado Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOACGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Acolchado Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOSEMPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Semirrígido Mediano;2024-01-12 00:00:00;2024-01-12 00:00:00
SOSEPPA;SOSEGPA;es;Sólo se puede seleccionar un embalaje: si se selecciona el Sobre Semirrígido Pequeño, no se puede seleccionar el Sobre Semirrígido Grande;2024-01-12 00:00:00;2024-01-12 00:00:00
