cod_zona_tarif;cod_pais;ind_bloqueado;ind_pais_origen;fec_creacion;fec_actualizacion
N1PCZP01PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP02PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP03PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP04PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP05PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP06PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP07PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP08PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP09PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP10PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP11PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP12PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP13PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP14PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP15PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP16PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP17PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP18PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP19PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP20PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP21PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP22PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP23PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP24PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP25PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP26PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP27PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP28PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP29PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP30PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP31PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP32PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP33PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP34PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP36PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP37PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP39PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP40PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP41PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP42PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP43PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP44PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP45PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP46PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP47PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP48PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP49PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
N1PCZP50PO;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
T1DOZ07;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
U6CEZUNI;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
E1DOFZ07;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
E1DOFZ08;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
E1DOFZ09;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;DEU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;AUT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;BEL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;FRA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;GRC;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;IRL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;ITA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;LUX;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;NLD;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1P;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1NP;GBR;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;DEU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;AUT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;BEL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;FRA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;GRC;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;IRL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;ITA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;LUX;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;NLD;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU1L;GBR;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;HRV;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;SVK;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;SVN;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;EST;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;HUN;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;LVA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;LTU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;MLT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;POL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;CZE;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2P;ROU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;HRV;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;SVK;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;SVN;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;EST;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;HUN;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;LVA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;LTU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;MLT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;POL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;CZE;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
W1DOZEU2L;ROU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;DEU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;AUT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;BEL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;DNK;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;FRA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;GRC;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;IRL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;ITA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;LUX;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;MCO;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;NLD;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;PRT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;XXA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;XXM;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1P;SWE;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;GUF;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;MTQ;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;MYT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;NCL;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;PYF;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;REU;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;MAF;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;SPM;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;GIB;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;GGY;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;JEY;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;NOR;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;ANT;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;GBR;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;AIA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;ASC;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;SGS;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;PCN;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;TCA;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;VGB;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
X1DOZEU1NP;MSR;f;t;2024-04-19 00:00:00;2024-04-19 00:00:00
